step,checkpoint_save_step,epoch,grad_norm,learning_rate,train_loss,total_flos,avg_train_loss,train_runtime,train_samples_per_second,train_steps_per_second,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
39,,0.312,2.4215641021728516,7.887863517111338E-05,0.6898,,,,,,,,,
40,,0.32,2.0801148414611816,7.784378082440941E-05,0.7473,,,,,,,,,
41,,0.328,2.289637565612793,7.679133974894983E-05,0.7443,,,,,,,,,
42,,0.336,1.9528406858444214,7.572197668907532E-05,0.6479,,,,,,,,,
43,,0.344,2.0531809329986572,7.463636707741458E-05,0.7336,,,,,,,,,
44,,0.352,1.7552956342697144,7.353519660826665E-05,0.6631,,,,,,,,,
45,,0.36,2.1569154262542725,7.241916080450163E-05,0.6768,,,,,,,,,
46,,0.368,1.9655706882476807,7.128896457825364E-05,0.6775,,,,,,,,,
47,,0.376,2.9177143573760986,7.014532178568314E-05,0.8394,,,,,,,,,
48,,0.384,2.0890166759490967,6.898895477609007E-05,0.6729,,,,,,,,,
49,,0.392,2.2059857845306396,6.782059393566253E-05,0.7666,,,,,,,,,
50,,0.4,2.039012908935547,6.664097722614934E-05,0.7372,,,,,,,,,
51,,0.408,1.5336577892303467,6.545084971874738E-05,0.6601,,,,,,,,,
52,,0.416,1.7653491497039795,6.42509631234988E-05,0.7074,,,,,,,,,
53,,0.424,1.7745000123977661,6.304207531449486E-05,0.7103,,,,,,,,,
54,,0.432,1.6422592401504517,6.182494985118624E-05,0.6954,,,,,,,,,
55,,0.44,1.4255536794662476,6.0600355496102745E-05,0.7079,,,,,,,,,
56,,0.448,1.7763878107070923,5.9369065729286245E-05,0.7326,,,,,,,,,
57,,0.456,1.6827644109725952,5.813185825974419E-05,0.6625,,,,,,,,,
58,,0.464,1.4400184154510498,5.68895145342319E-05,0.7185,,,,,,,,,
59,,0.472,1.790886402130127,5.564281924367408E-05,0.7205,,,,,,,,,
60,,0.48,1.8397773504257202,5.439255982753717E-05,0.6658,,,,,,,,,
61,,0.488,1.9793928861618042,5.313952597646568E-05,0.8191,,,,,,,,,
62,,0.496,2.0067715644836426,5.188450913349674E-05,0.7423,,,,,,,,,
63,,0.504,2.208599090576172,5.062830199416764E-05,0.6136,,,,,,,,,
64,,0.512,2.4447929859161377,4.9371698005832365E-05,0.6762,,,,,,,,,
65,,0.52,1.8652528524398804,4.811549086650327E-05,0.6605,,,,,,,,,
66,,0.528,2.3900651931762695,4.6860474023534335E-05,0.7453,,,,,,,,,
67,,0.536,2.3388874530792236,4.560744017246284E-05,0.7271,,,,,,,,,
68,,0.544,2.1194419860839844,4.435718075632592E-05,0.7302,,,,,,,,,
69,,0.552,2.015947103500366,4.31104854657681E-05,0.6764,,,,,,,,,
70,,0.56,2.1778335571289062,4.1868141740255823E-05,0.7143,,,,,,,,,
71,,0.568,2.3562631607055664,4.063093427071376E-05,0.771,,,,,,,,,
72,,0.576,2.0607447624206543,3.939964450389728E-05,0.7633,,,,,,,,,
73,,0.584,2.170322895050049,3.817505014881378E-05,0.7748,,,,,,,,,
74,,0.592,1.7824287414550781,3.6957924685505167E-05,0.7001,,,,,,,,,
75,,0.6,2.124898672103882,3.5749036876501194E-05,0.7471,,,,,,,,,
76,,0.608,1.7660019397735596,3.4549150281252636E-05,0.6642,,,,,,,,,
